Sample    Real    Imaginary   Mod
183 492.496 -954.388 1073.97
184 360.591 -991.12 1054.68
185 228.226 -1009.9 1035.36
186 97.5502 -1011.48 1016.17
187 -29.5442 -996.812 997.25
188 -151.406 -966.942 978.724
189 -266.599 -922.982 960.714
190 -373.867 -866.071 943.321
191 -472.098 -797.355 926.635
192 -560.28 -717.989 910.726
193 -637.477 -629.139 895.652
194 -702.804 -532.013 881.46
195 -755.418 -427.883 868.182
196 -794.527 -318.119 855.847
197 -819.408 -204.218 844.473
198 -829.438 -87.8241 834.075
199 -824.144 29.2585 824.664
200 -803.248 145.069 816.243
201 -766.724 257.509 808.812
202 -714.849 364.381 802.361
203 -648.246 463.436 796.867
204 -567.921 552.446 792.294
205 -475.272 629.278 788.59
206 -372.094 691.982 785.681
207 -260.555 738.875 783.47
208 -143.145 768.626 781.842
209 -22.6188 780.329 780.657
210 98.0897 773.563 779.757
211 215.966 748.432 778.969
212 328.019 705.586 778.105
213 431.394 646.212 776.976
214 523.48 572.008 775.387
215 602.011 485.123 773.151
216 665.152 388.088 770.091
217 711.572 283.713 766.047
218 740.483 174.989 760.878
219 751.668 64.9668 754.471
220 745.477 -43.3593 746.737
221 722.792 -147.16 737.621
222 684.978 -243.877 727.098
223 633.809 -331.304 715.176
224 571.376 -407.658 701.894
225 499.99 -471.619 687.324
226 422.076 -522.354 671.566
227 340.068 -559.506 654.747
228 256.316 -583.173 637.016
229 172.996 -593.859 618.543
230 92.0424 -592.406 599.514
231 15.1002 -579.929 580.125
232 -56.5081 -557.724 560.579
233 -121.79 -527.195 541.08
234 -180.074 -489.774 521.829
235 -230.98 -446.852 503.019
236 -274.379 -399.722 484.832
237 -310.34 -349.545 467.432
238 -339.078 -297.319 450.968
239 -360.891 -243.875 435.566
240 -376.114 -189.889 421.331
241 -385.07 -135.9 408.347
242 -388.038 -82.346 396.679
243 -385.233 -29.6026 386.369
244 -376.804 21.9765 377.445
245 -362.837 72.0189 369.916
246 -343.38 120.1 363.777
247 -318.472 165.719 359.009
248 -288.183 208.287 355.575
249 -252.656 247.127 353.421
250 -212.143 281.488 352.478
251 -167.047 310.577 352.651
252 -117.942 333.592 353.827
253 -65.5928 349.775 355.872
254 -10.9527 358.461 358.629
255 44.8484 359.133 361.922
256 100.533 351.468 365.564
257 154.721 335.385 369.353
258 205.979 311.069 373.084
259 252.887 278.996 376.551
260 294.102 239.926 379.553
261 328.426 194.894 381.899
262 354.868 145.172 383.413
263 372.697 92.2257 383.938
264 381.484 37.653 383.338
265 381.129 -16.8861 381.503
266 371.866 -69.7429 378.35
267 354.259 -119.355 373.825
268 329.169 -164.318 367.903
269 297.717 -203.446 360.591
270 261.221 -235.825 351.923
271 221.134 -260.845 341.965
272 178.964 -278.221 330.809
273 136.207 -287.987 318.573
274 94.2691 -290.485 305.398
275 54.4027 -286.324 291.447
276 17.6563 -276.334 276.898
277 -15.1668 -261.506 261.946
278 -43.5303 -242.925 246.794
279 -67.1696 -221.7 231.652
280 -86.0799 -198.905 216.732
281 -100.489 -175.51 202.242
282 -110.813 -152.34 188.38
283 -117.611 -130.034 175.331
284 -121.52 -109.028 163.261
285 -123.203 -89.5485 152.308
286 -123.284 -71.6261 142.581
287 -122.306 -55.1195 134.153
288 -120.684 -39.7547 127.063
289 -118.679 -25.1715 121.319
290 -116.386 -10.976 116.902
291 -113.733 3.20687 113.778
292 -110.501 17.6836 111.907
293 -106.35 32.6494 111.248
294 -100.862 48.1558 111.768
295 -93.5888 64.0914 113.431
296 -84.1022 80.1765 116.196
297 -72.0462 95.973 120.006
298 -57.1837 110.908 124.782
299 -39.4356 124.312 130.417
300 -18.9078 135.462 136.775
301 4.09403 143.636 143.694
302 29.0659 148.17 150.994
303 55.3212 148.511 158.48
