Sample    Real    Imaginary   Mod
137 -8.54912e-13 -2.26863e-12 2.42437e-12
138 2.4267e-13 1.91242e-12 1.92776e-12
139 -4.27456e-13 -6.74579e-13 7.98608e-13
140 -1.082e-12 5.14283e-13 1.198e-12
141 -1.68979e-12 5.74394e-13 1.78474e-12
142 -1.59851e-12 2.53802e-13 1.61853e-12
143 -1.33803e-12 -6.47863e-13 1.48662e-12
144 -9.7736e-13 2.03932e-12 2.26143e-12
145 -1.06196e-12 4.07419e-13 1.13743e-12
146 -2.37995e-12 -2.57364e-12 3.50539e-12
147 9.43965e-13 -2.11279e-12 2.31408e-12
148 -4.20777e-13 -1.52949e-12 1.58632e-12
149 2.33676e-11 5.69273e-12 2.4051e-11
150 -1.3358e-12 1.29127e-12 1.85789e-12
151 -2.47568e-12 1.62968e-12 2.96392e-12
152 -1.85899e-12 1.87235e-12 2.63847e-12
153 9.30607e-13 1.29573e-12 1.59529e-12
154 -1.1548e-11 2.8831e-12 1.19025e-11
155 5.78847e-14 -7.79217e-14 9.70691e-14
156 6.85711e-13 2.71613e-13 7.37545e-13
157 -1.2512e-12 3.16139e-13 1.29052e-12
158 -6.12242e-13 1.88348e-12 1.98049e-12
159 4.45267e-14 -9.57323e-14 1.05581e-13
160 -1.15547e-12 -1.34693e-12 1.77463e-12
161 7.79217e-14 5.56583e-13 5.62011e-13
162 -2.78069e-12 5.78847e-13 2.8403e-12
163 -2.71835e-12 3.99627e-12 4.83318e-12
164 -3.19256e-12 1.88125e-12 3.70561e-12
165 -1.75212e-12 4.60628e-12 4.92826e-12
166 2.39108e-12 4.81111e-12 5.37252e-12
167 -1.84786e-12 3.81594e-12 4.2398e-12
168 -6.90163e-14 9.90718e-13 9.93119e-13
169 -1.28237e-12 1.67866e-12 2.11243e-12
170 8.6827e-13 -1.62522e-13 8.83349e-13
171 -1.09758e-12 2.78292e-13 1.13231e-12
172 -1.60741e-11 5.78847e-14 1.60742e-11
173 -1.06486e-11 -1.09758e-12 1.0705e-11
174 -1.47829e-12 -1.23116e-12 1.92382e-12
175 -2.44451e-12 3.18366e-13 2.46516e-12
176 -1.37142e-12 4.03857e-12 4.26507e-12
177 2.60036e-12 -1.4204e-12 2.963e-12
178 -7.5918e-13 -2.24414e-12 2.36908e-12
179 -2.39331e-12 4.22781e-12 4.85822e-12
180 6.37844e-13 -8.56025e-12 8.58398e-12
181 8.82741e-13 3.20147e-12 3.32094e-12
182 -1.66084e-12 1.46493e-12 2.21459e-12
183 -1.45157e-12 3.77809e-12 4.04734e-12
184 2.03042e-12 -3.19701e-12 3.78728e-12
185 3.51872e-12 -8.43335e-12 9.13799e-12
186 -3.30277e-12 5.19404e-12 6.15518e-12
187 1.42374e-12 1.21558e-12 1.87208e-12
188 -9.26822e-12 -5.59032e-12 1.08237e-11
189 -5.12057e-13 1.09981e-12 1.21317e-12
190 -7.48159e-12 -3.53319e-12 8.27391e-12
191 1.96585e-12 4.60183e-12 5.00414e-12
192 3.81816e-13 2.93876e-12 2.96346e-12
193 -2.4601e-13 4.16324e-13 4.83577e-13
194 -4.42929e-12 -3.89163e-12 5.89605e-12
195 -5.01704e-12 -2.02374e-12 5.40983e-12
196 4.76435e-13 7.56953e-13 8.9441e-13
197 -1.00074e-12 1.97476e-12 2.21385e-12
198 1.80778e-12 -3.51538e-12 3.95297e-12
199 5.15396e-13 -2.40444e-13 5.68724e-13
200 8.03706e-13 -6.20702e-12 6.25883e-12
201 1.35138e-12 6.68568e-12 6.82089e-12
202 -2.12615e-13 4.68198e-12 4.6868e-12
203 -2.26863e-12 -1.94804e-12 2.99024e-12
204 -1.082e-12 7.68085e-13 1.3269e-12
205 1.54953e-12 3.33059e-12 3.6734e-12
206 3.78477e-14 3.46195e-12 3.46215e-12
207 3.96287e-13 -1.55843e-12 1.60803e-12
208 3.32169e-12 -1.03836e-11 1.0902e-11
209 8.18957e-12 1.00897e-11 1.29951e-11
210 -2.4178e-12 -5.20962e-13 2.47329e-12
211 -2.06158e-12 4.73096e-12 5.16063e-12
212 8.10385e-13 9.39513e-13 1.24073e-12
213 -4.45267e-15 1.03747e-12 1.03748e-12
214 -5.91759e-12 1.09981e-12 6.01893e-12
215 1.58292e-12 2.97215e-12 3.36739e-12
216 -4.3458e-12 6.12242e-13 4.38872e-12
217 -1.52059e-12 -3.31724e-13 1.55635e-12
218 -2.44897e-12 -4.83114e-12 5.4164e-12
219 5.15396e-13 -1.92355e-12 1.9914e-12
220 1.06196e-12 1.49832e-12 1.8365e-12
221 1.87235e-12 2.5447e-12 3.1593e-12
222 -6.21147e-13 -2.86529e-12 2.93184e-12
223 -3.3818e-12 4.16102e-12 5.36196e-12
224 -2.20852e-12 1.85454e-12 2.8839e-12
225 4.34135e-14 -8.34875e-13 8.36003e-13
226 5.85526e-13 -1.38033e-12 1.49938e-12
227 -2.41891e-12 4.49719e-13 2.46036e-12
228 9.09902e-12 2.44897e-12 9.42283e-12
229 -3.16585e-12 3.00778e-12 4.36684e-12
230 5.62149e-13 -2.31093e-12 2.37832e-12
231 1.34359e-12 -2.56474e-12 2.89536e-12
232 1.27458e-12 4.94023e-12 5.102e-12
233 -1.12597e-12 1.26678e-12 1.69486e-12
234 -2.09108e-12 -2.60926e-12 3.34378e-12
235 2.00259e-12 3.70017e-12 4.20732e-12
236 -9.05004e-13 4.19886e-12 4.29529e-12
237 -3.04006e-12 2.40444e-13 3.04955e-12
238 7.25228e-13 -9.52871e-13 1.19746e-12
239 -1.65695e-12 1.33803e-12 2.12974e-12
240 -1.8217e-12 7.68085e-13 1.977e-12
241 -9.64002e-13 -4.00295e-12 4.11739e-12
242 -2.78292e-14 -2.60481e-13 2.61963e-13
243 -9.90718e-14 -5.52576e-12 5.52665e-12
244 8.10385e-12 -1.52949e-12 8.24692e-12
245 -6.61666e-12 1.65773e-11 1.7849e-11
246 -1.7293e-12 2.35546e-12 2.9221e-12
247 -2.0037e-14 9.26155e-13 9.26371e-13
248 -2.05991e-12 4.89793e-14 2.0605e-12
249 -1.2935e-12 -9.03891e-13 1.57802e-12
250 9.79587e-14 9.5955e-13 9.64537e-13
251 -1.69535e-12 2.58255e-12 3.0893e-12
252 5.04042e-12 -6.03336e-13 5.0764e-12
253 1.4499e-12 -4.27456e-12 4.51376e-12
254 -2.4139e-12 -6.36954e-12 6.8116e-12
255 1.42764e-12 1.92823e-11 1.9335e-11
256 -9.00552e-13 4.18773e-12 4.28347e-12
257 -1.80333e-13 -2.62039e-12 2.62659e-12
258 -3.30499e-12 4.29014e-12 5.41556e-12
259 -3.10295e-13 -2.48014e-12 2.49947e-12
260 6.38401e-13 2.27754e-12 2.36532e-12
261 1.12764e-12 2.53134e-12 2.77115e-12
262 -7.42176e-12 1.55843e-13 7.4234e-12
263 -5.5547e-13 -1.09536e-12 1.22815e-12
264 1.46994e-12 -2.45119e-12 2.85816e-12
265 -4.79775e-13 1.55843e-14 4.80028e-13
266 -7.78103e-13 -2.21965e-12 2.35209e-12
267 -2.46399e-12 -1.09758e-11 1.1249e-11
268 -1.86455e-13 1.13098e-12 1.14624e-12
269 -8.62426e-13 -7.74764e-13 1.15933e-12
270 2.86084e-13 -1.43598e-12 1.46421e-12
271 -1.42402e-12 3.27716e-12 3.57318e-12
272 7.63911e-13 1.36252e-12 1.56205e-12
273 5.04543e-13 8.74949e-13 1.01e-12
274 4.73096e-13 -2.65824e-12 2.70001e-12
275 -5.64654e-13 3.79145e-12 3.83326e-12
276 -2.67049e-12 1.05751e-12 2.87225e-12
277 6.9879e-13 -4.72428e-12 4.77568e-12
278 5.14923e-12 -1.4883e-11 1.57486e-11
279 -1.65277e-12 3.77141e-12 4.11767e-12
280 -1.06697e-12 3.85601e-12 4.0009e-12
281 2.27907e-11 1.27569e-11 2.61181e-11
282 8.62648e-12 1.34849e-11 1.60081e-11
283 -6.17807e-14 -1.17773e-12 1.17935e-12
284 -1.84229e-13 -5.23188e-13 5.54677e-13
285 -4.59738e-13 2.84748e-12 2.88435e-12
286 7.31629e-13 -8.32649e-13 1.10842e-12
287 -2.71334e-12 -3.24599e-12 4.23069e-12
288 1.45797e-12 -2.59813e-12 2.97925e-12
289 -2.41251e-12 -8.74726e-12 9.07385e-12
290 -5.94153e-13 7.22445e-12 7.24884e-12
291 -4.54478e-12 3.73356e-12 5.88171e-12
292 -1.81112e-12 6.31611e-12 6.57064e-12
293 -2.18821e-12 -1.14656e-12 2.4704e-12
294 -9.57407e-12 3.78922e-12 1.02966e-11
295 1.20556e-12 -1.19999e-12 1.70099e-12
296 -1.80027e-12 -2.82744e-13 1.82234e-12
297 -2.319e-12 -2.64488e-12 3.51755e-12
298 2.79961e-13 1.83895e-12 1.86014e-12
299 4.65582e-13 -2.09943e-12 2.15044e-12
300 -2.57531e-12 8.81628e-13 2.72204e-12
301 2.50713e-12 -1.15769e-12 2.76151e-12
302 -3.92948e-12 2.44674e-12 4.62897e-12
303 -6.2457e-12 6.85711e-13 6.28323e-12
304 -5.69719e-12 -1.24897e-12 5.83248e-12
305 6.01221e-12 -4.23894e-12 7.35631e-12
306 -9.5955e-13 4.19441e-12 4.30277e-12
307 -1.4332e-12 2.09275e-12 2.53647e-12
308 -3.11019e-12 9.28381e-13 3.24579e-12
309 -2.27476e-12 1.72541e-12 2.85509e-12
310 -1.81446e-12 -4.12762e-12 4.50883e-12
311 -1.19777e-12 -5.49904e-12 5.62798e-12
312 -2.11168e-12 5.73949e-12 6.11563e-12
313 -8.84411e-13 5.09162e-12 5.16786e-12
314 -5.17622e-12 3.3818e-12 6.18303e-12
315 1.4883e-12 -2.84971e-13 1.51534e-12
316 -4.65304e-13 1.72763e-12 1.7892e-12
317 -1.41539e-12 2.80741e-12 3.14402e-12
318 -1.41261e-12 7.56953e-14 1.41464e-12
319 -6.25822e-12 5.11166e-12 8.0805e-12
320 -5.85526e-13 7.3469e-14 5.90117e-13
321 -2.64377e-12 5.32094e-12 5.94154e-12
322 4.75879e-13 -1.64971e-12 1.71698e-12
323 -5.27641e-13 -7.23558e-13 8.95512e-13
324 -8.666e-13 1.83672e-12 2.0309e-12
325 4.22447e-12 8.12389e-12 9.15662e-12
326 1.34582e-12 -7.36916e-13 1.53436e-12
327 -6.04227e-12 -1.28459e-12 6.17731e-12
328 -5.80516e-12 -2.93431e-12 6.50462e-12
329 -6.52538e-12 7.54727e-12 9.97707e-12
330 2.88421e-12 -1.6653e-12 3.33045e-12
331 -2.94989e-12 -1.05083e-12 3.13147e-12
332 1.87535e-11 1.28281e-11 2.27213e-11
333 -3.39293e-12 6.94616e-12 7.73053e-12
334 1.19087e-11 -3.78254e-12 1.24949e-11
335 -3.71241e-12 -3.20147e-12 4.90218e-12
336 2.24192e-12 -5.05378e-13 2.29817e-12
337 -1.7499e-12 6.22037e-12 6.46183e-12
338 -4.41704e-12 -4.60628e-12 6.38186e-12
339 1.86901e-12 -2.26641e-12 2.93765e-12
340 -1.89238e-13 1.06641e-12 1.08307e-12
341 -2.12726e-12 1.80778e-12 2.79165e-12
342 -1.22003e-12 4.77326e-12 4.92671e-12
343 -5.86416e-12 -3.01668e-12 6.5946e-12
344 -9.01665e-14 7.77658e-12 7.7771e-12
345 2.31539e-12 -8.88752e-12 9.18417e-12
346 -4.11872e-14 2.05936e-12 2.05977e-12
347 -1.5473e-12 2.60258e-12 3.0278e-12
348 -9.50533e-12 -3.65586e-11 3.77741e-11
349 -3.74469e-12 -1.15703e-11 1.21611e-11
350 2.64266e-12 1.19176e-11 1.2207e-11
351 -8.65598e-12 1.2483e-11 1.51905e-11
352 -9.64002e-13 7.78326e-12 7.84273e-12
353 -1.14545e-12 -6.12242e-13 1.2988e-12
354 -2.11502e-14 3.01446e-12 3.01453e-12
355 3.14692e-12 -2.60392e-11 2.62287e-11
356 3.47252e-11 -5.71722e-12 3.51927e-11
357 -4.38922e-12 9.9428e-12 1.08685e-11
358 -1.47272e-12 -1.00185e-12 1.78118e-12
359 -4.27456e-13 4.31686e-12 4.33797e-12
360 2.48793e-12 -1.52059e-12 2.91581e-12
361 -1.6152e-12 6.75247e-12 6.94296e-12
362 2.99664e-12 2.03487e-12 3.62223e-12
363 2.71835e-12 -4.5573e-12 5.30645e-12
364 -1.1243e-13 2.58923e-12 2.59167e-12
365 2.48125e-12 9.08344e-13 2.64229e-12
366 -2.69164e-12 5.3432e-14 2.69217e-12
367 2.87642e-12 3.68903e-12 4.6779e-12
368 4.56621e-12 -3.07679e-12 5.50608e-12
369 1.13543e-13 -6.27826e-12 6.27929e-12
370 -5.55693e-12 2.29535e-12 6.01233e-12
371 -4.45912e-11 1.93557e-11 4.86109e-11
372 -2.55249e-12 -4.57289e-12 5.23703e-12
373 3.78477e-14 2.43783e-12 2.43813e-12
374 -1.41817e-12 -5.51463e-12 5.69406e-12
375 3.28384e-13 2.03709e-12 2.06339e-12
376 -2.74618e-12 -6.45191e-12 7.01204e-12
377 2.31539e-13 4.55062e-12 4.55651e-12
378 4.26231e-12 -8.38437e-12 9.40558e-12
379 3.15694e-12 1.1755e-12 3.36869e-12
380 1.36029e-12 7.13317e-12 7.26172e-12
381 -4.49719e-12 7.9391e-12 9.12437e-12
382 2.98997e-12 8.0237e-12 8.56269e-12
383 -9.06118e-13 3.52429e-12 3.63891e-12
384 -2.32652e-12 2.42448e-12 3.36017e-12
385 4.22558e-12 -1.39368e-12 4.44948e-12
386 2.44674e-12 -1.24675e-13 2.44991e-12
387 3.11687e-12 -6.4341e-13 3.18258e-12
388 -4.86454e-12 -4.27456e-13 4.88328e-12
389 -1.89016e-12 -2.05936e-12 2.79529e-12
390 -4.37252e-12 1.97253e-12 4.79685e-12
391 -4.40814e-12 -4.95582e-12 6.63263e-12
392 -4.67307e-12 -8.68938e-12 9.86625e-12
393 -9.37286e-13 7.96805e-12 8.02298e-12
394 -5.00925e-12 1.59116e-11 1.66815e-11
395 1.81891e-12 -5.42335e-12 5.72024e-12
396 7.44263e-12 -4.84673e-12 8.88164e-12
397 -1.35138e-12 -2.84303e-12 3.14786e-12
398 4.10758e-12 -6.89941e-12 8.02957e-12
399 -2.37104e-12 1.58515e-12 2.85211e-12
400 1.48719e-12 8.90979e-12 9.03305e-12
401 3.49534e-12 -1.37966e-11 1.42325e-11
402 3.80258e-12 -4.48161e-12 5.87745e-12
403 2.90024e-11 5.80383e-11 6.48813e-11
404 -1.1804e-11 -3.50425e-12 1.23132e-11
405 -3.21037e-12 5.9265e-12 6.74017e-12
406 -9.3506e-14 -1.8857e-12 1.88802e-12
407 7.83669e-13 1.4627e-12 1.65941e-12
408 -1.24897e-12 1.02857e-12 1.61799e-12
409 -6.30275e-12 -1.38255e-12 6.4526e-12
410 -1.61632e-12 2.62039e-12 3.07879e-12
411 -3.26158e-12 2.35769e-12 4.0245e-12
412 -4.20109e-12 1.32467e-12 4.40499e-12
413 -3.24154e-12 -4.80888e-12 5.79939e-12
414 -7.1443e-12 -1.93691e-12 7.40221e-12
415 -3.11241e-12 2.13884e-11 2.16137e-11
416 1.90574e-12 7.56953e-14 1.90724e-12
417 3.8471e-12 1.33936e-11 1.39352e-11
418 -9.5955e-12 -2.86707e-11 3.02338e-11
419 -2.5113e-12 9.75357e-12 1.00717e-11
420 -2.82967e-12 -1.41817e-12 3.16516e-12
421 9.22147e-12 -1.04393e-11 1.39289e-11
422 2.21075e-12 2.56251e-12 3.38436e-12
423 -1.85231e-12 1.46938e-13 1.85813e-12
424 -3.78477e-12 -5.20739e-12 6.4375e-12
425 -1.32689e-12 -4.31909e-13 1.39542e-12
426 6.87492e-12 -1.05617e-11 1.26022e-11
427 2.60481e-12 -1.14901e-11 1.17817e-11
428 -4.54395e-12 8.98771e-12 1.00711e-11
429 4.23003e-12 3.669e-12 5.59953e-12
430 7.21332e-13 5.75062e-12 5.79568e-12
431 -1.56956e-12 -4.11872e-13 1.62271e-12
432 -5.16732e-12 3.90499e-12 6.47689e-12
433 1.08422e-12 -1.20222e-13 1.09087e-12
434 -9.52871e-13 1.24452e-12 1.56742e-12
435 8.72723e-13 -2.86752e-12 2.99738e-12
436 -2.8546e-11 5.3147e-11 6.03281e-11
437 -3.41074e-12 -8.28196e-13 3.50985e-12
438 1.78329e-12 1.93023e-12 2.62791e-12
439 2.01928e-12 2.60926e-12 3.29936e-12
440 -2.41557e-12 4.07642e-12 4.73837e-12
441 -6.36731e-13 -2.62707e-13 6.88797e-13
442 -1.16682e-11 5.90646e-12 1.3078e-11
443 4.69088e-12 2.80629e-12 5.46623e-12
444 4.79775e-12 3.99849e-12 6.24551e-12
445 6.16249e-12 -7.37139e-12 9.608e-12
446 -1.89238e-12 -3.2638e-12 3.77274e-12
447 -1.4204e-12 -4.60183e-12 4.81605e-12
448 -3.44191e-12 8.70274e-12 9.35865e-12
449 -5.27196e-12 -5.38995e-12 7.53957e-12
450 -2.27977e-12 2.48347e-12 3.3712e-12
451 1.64125e-11 7.29124e-13 1.64287e-11
452 -2.03487e-12 1.43598e-12 2.49053e-12
453 9.03891e-13 8.62927e-12 8.67648e-12
454 1.00408e-12 1.86789e-12 2.12066e-12
455 -2.25973e-12 -2.11502e-13 2.2696e-12
456 -7.56953e-14 4.92688e-12 4.92746e-12
457 -3.98736e-12 -8.84077e-12 9.69836e-12
458 3.34173e-12 5.21185e-12 6.19116e-12
459 -2.227e-11 1.87791e-12 2.2349e-11
460 -1.78107e-14 -3.66232e-12 3.66236e-12
461 -2.11947e-12 2.20964e-12 3.0618e-12
